sampleID	taxon_oid	Domain	Sequencing Status	Ecosystem	Study Name	Genome Name / Sample Name	Sequencing Center	Add Date	Assembly Method	Has Coverage	Release Date	Sequencing Method	Genome Size   * assembled	Gene Count   * assembled	GC   * assembled	KO %   * assembled	richness_KO	Hypothesis	Analysis	Latitude	Longitude	Contact Email	Contact Name	JGI Data Utilization Status	JGI Data Utilization Status_GOLD_07Apr2022	PermissionNotes
X3300021489	3300021489	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-8-9_MG"	DOE Joint Genome Institute (JGI)	11/9/17	spades v. SPAdes version: 3.11.1-check	Yes	1/8/18	Illumina HiSeq 2500-1TB	121323270	263884	41.91	40.16	3986	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021508	3300021508	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-18-0-1_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	242313859	494266	48.23	35.32	5209	H2	Both	27.0074	-110.591	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021511	3300021511	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-18-1-2_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	303118174	607177	49.97	34.05	5117	H2	Both	27.0074	-110.591	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021514	3300021514	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-30-0-1_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	378970519	782903	46.59	39.72	5531	H2	Both	27.0074	-110.591	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021496	3300021496	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-1-2_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	136289761	306073	44.22	40.45	4762	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021495	3300021495	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-10-11_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	142764967	312710	41.93	37.48	3978	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021504	3300021504	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-2-3_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	241930256	486164	45.46	37.58	5085	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021500	3300021500	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-5-6_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	159679707	329643	45.57	35.84	4482	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021503	3300021503	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-6-7_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	175339565	362848	46.09	36.86	4416	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021506	3300021506	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-18-1-2_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	237083223	525249	43.46	36.57	5142	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021512	3300021512	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-0-1_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	346764346	732227	42.33	38.22	5461	H2	Both	27.0114	-110.5931	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021509	3300021509	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-1--2_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	295641287	602278	42.58	36.77	4334	H2	Both	27.0114	-110.5931	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021493	3300021493	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-3-4_MG"	DOE Joint Genome Institute (JGI)	11/9/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	144589974	293536	42.31	37.37	3717	H2	Both	27.0114	-110.5931	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021502	3300021502	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-4-5_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	163783968	347638	42.51	38.58	3514	H2	Both	27.0114	-110.5931	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021498	3300021498	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-6-7_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	157464716	339111	42.36	36.65	3183	H2	Both	27.0114	-110.5931	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021513	3300021513	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-11-0-1_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	332012557	697199	42.81	39.31	4969	H2	Both	27.0118	-110.5962	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021507	3300021507	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-11-1-2_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	264224592	551683	42.38	39.69	4600	H2	Both	27.0118	-110.5962	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021505	3300021505	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-0-1_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	158973755	401829	44.52	43.2	5286	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021499	3300021499	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-10-11_MG"	DOE Joint Genome Institute (JGI)	11/10/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	144358644	327090	43.83	39.02	3997	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021494	3300021494	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-2-3_MG"	DOE Joint Genome Institute (JGI)	11/9/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	132448079	295983	43.7	41.4	4432	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021492	3300021492	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-9-10_MG"	DOE Joint Genome Institute (JGI)	11/9/17	spades v. SPAdes version: 3.11.1-check	Yes	1/9/18	Illumina HiSeq 2500-1TB	138435750	304837	43.55	38.94	4202	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021580	3300021580	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-30-1-2_MG"	DOE Joint Genome Institute (JGI)	11/13/17	spades v. SPAdes version: 3.11.1-check	Yes	1/12/18	Illumina HiSeq 2500-1TB	87935217	241630	43.97	37.2	4549	H2	Both	27.0074	-110.591	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021564	3300021564	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-30-3-4_MG"	DOE Joint Genome Institute (JGI)	11/13/17	spades v. SPAdes version: 3.11.1-check	Yes	1/12/18	Illumina HiSeq 2500-1TB	5573716	16695	46.86	38.16	2079	H2	Both	27.0074	-110.591	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021563	3300021563	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-11-12_MG"	DOE Joint Genome Institute (JGI)	11/13/17	spades v. SPAdes version: 3.11.1-check	Yes	1/12/18	Illumina HiSeq 2500-1TB	35541007	102672	43.52	39.59	3185	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021567	3300021567	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-13-14_MG"	DOE Joint Genome Institute (JGI)	11/13/17	spades v. SPAdes version: 3.11.1-check	Yes	1/12/18	Illumina HiSeq 2500-1TB	20745460	62316	44.69	40.75	2829	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021588	3300021588	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-18-2-3_MG"	DOE Joint Genome Institute (JGI)	11/14/17	spades v. SPAdes version: 3.11.1-check	Yes	1/14/18	Illumina HiSeq 2500-1TB	95272852	208464	45.69	35.45	4079	H2	Both	27.0074	-110.591	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021590	3300021590	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-12-13_MG"	DOE Joint Genome Institute (JGI)	11/14/17	spades v. SPAdes version: 3.11.1-check	Yes	1/14/18	Illumina HiSeq 2500-1TB	121224396	291648	42.04	37.15	3624	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021589	3300021589	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-13-14_MG"	DOE Joint Genome Institute (JGI)	11/14/17	spades v. SPAdes version: 3.11.1-check	Yes	1/14/18	Illumina HiSeq 2500-1TB	44940317	121160	41.61	38.74	3175	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021587	3300021587	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-13-9-10_MG"	DOE Joint Genome Institute (JGI)	11/14/17	spades v. SPAdes version: 3.11.1-check	Yes	1/14/18	Illumina HiSeq 2500-1TB	53786313	138457	42.9	37.69	3445	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021592	3300021592	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-18-5-6_MG"	DOE Joint Genome Institute (JGI)	11/14/17	spades v. SPAdes version: 3.11.1-check	Yes	1/14/18	Illumina HiSeq 2500-1TB	93872894	234219	41.48	39.24	3579	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300021591	3300021591	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-04-11-12_MG"	DOE Joint Genome Institute (JGI)	11/14/17	spades v. SPAdes version: 3.11.1-check	Yes	1/14/18	Illumina HiSeq 2500-1TB	129332765	319226	42.91	36.88	4000	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300022170	3300022170	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-18-9-10_MG"	DOE Joint Genome Institute (JGI)	12/13/17	spades v. SPAdes version: 3.11.1-check	Yes	2/11/18	Illumina HiSeq 2500-1TB	116537782	266968	42.34	37.81	3298	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300022188	3300022188	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-10-11_MG"	DOE Joint Genome Institute (JGI)	12/13/17	spades v. SPAdes version: 3.11.1-check	Yes	2/11/18	Illumina HiSeq 2500-1TB	369060282	766490	41.12	33.58	4735	H2	Both	27.0114	-110.5931	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300022470	3300022470	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4872-18-10-11_MG"	DOE Joint Genome Institute (JGI)	12/21/17	spades v. SPAdes version: 3.11.1-check	Yes	2/19/18	Illumina HiSeq 2500-1TB	345302164	693567	41.42	37.04	3756	H2	Both	27.0114	-110.5956	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300024423	3300024423	*Microbiome	Permanent Draft	Hydrothermal vent	Microbial communities from sediments and microbial mats in various locations	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-18-3-4_MG"	DOE Joint Genome Institute (JGI)	3/25/18	spades v. 3.11.1	Yes	5/24/18	Illumina HiSeq 2500-1TB	431675414	1007877	47.68	34.96	5336	H2	Both	27.0074	-110.591	bmacgreg@unc.edu	Barbara MacGregor	Unrestricted	Unrestricted	Unrestricted
X3300037249	3300037249	*Microbiome	Permanent Draft	Cow gut	"Rumen fluid microbial communities from dairy cows in UC Davis, California, USA"	"Rumen fluid microbial communities from dairy cow in UC Davis, California, USA - UCD_Rumen_Seaweed_2555"	DOE Joint Genome Institute (JGI)	1/19/20	metaspades v. 3.13.0	Yes	3/19/20	Illumina NovaSeq	1579046086	2362942	40.75	27.04	5590	H2	Both	38.5368	-121.7595	bmroque@ucdavis.edu	Breanna Roque	Unrestricted	Unrestricted	Unrestricted
X3300037400	3300037400	*Microbiome	Permanent Draft	Cow gut	"Rumen fluid microbial communities from dairy cows in UC Davis, California, USA"	"Rumen fluid microbial communities from dairy cow in UC Davis, California, USA - UCD_Rumen_Seaweed_2631"	DOE Joint Genome Institute (JGI)	1/31/20	metaspades v. 3.13.0	Yes	3/31/20	Illumina NovaSeq S4	2282287641	3394301	42.73	26.98	5975	H2	Both	38.5368	-121.7595	bmroque@ucdavis.edu	Breanna Roque	Unrestricted	Unrestricted	Unrestricted
X3300006224	3300006224	*Microbiome	Permanent Draft	Wetland (freshwater)	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls"	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 4 metaG"	DOE Joint Genome Institute (JGI)	10/22/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	5/27/16	"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II"	5559820833	15697153	58.22344	40.28	10352	"H2, Ac"	Both	41.384	-82.513	christopher.s.miller@ucdenver.edu	"Christopher Miller, Christopher S. Miller"	Unrestricted	Unrestricted	Unrestricted
X3300009091	3300009091	*Microbiome	Permanent Draft	Wetland (freshwater)	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls"	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (Illumina Assembly)"	DOE Joint Genome Institute (JGI)	5/29/16	MEGAHIT v. MEGAHIT v1.0.3	Yes	7/28/16	"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II"	4333935572	8782706	57.6727	38.85	7952	"H2, Ac"	Both	41.384	-82.513	christopher.s.miller@ucdenver.edu	"Christopher Miller, Christopher S. Miller"	Unrestricted	Unrestricted	Unrestricted
X3300009167	3300009167	*Microbiome	Permanent Draft	Wetland (freshwater)	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls"	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG - Illumina Assembly (version 2)"	DOE Joint Genome Institute (JGI)	6/4/16	MEGAHIT v. MEGAHIT v1.0.3	Yes	8/3/16	"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II"	4923714269	10000384	58.88107	39.15	8190	"H2, Ac"	Both	41.384	-82.513	christopher.s.miller@ucdenver.edu	"Christopher Miller, Christopher S. Miller"	Unrestricted	Unrestricted	Unrestricted
X3300012931	3300012931	*Microbiome	Permanent Draft	Wetland (freshwater)	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls"	"Freshwater wetland microbial communities from Ohio, USA - Open water 3 Core 3 Depth 3 metaG"	DOE Joint Genome Institute (JGI)	12/22/16	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/20/17	Illumina HiSeq 2500-1TB	5336785317	11262254	56.12076	38.18	8104	"H2, Ac"	Both	41.3778	-82.5108	christopher.s.miller@ucdenver.edu	Christopher S. Miller	Unrestricted	Unrestricted	Unrestricted
X3300012964	3300012964	*Microbiome	Permanent Draft	Wetland (freshwater)	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls"	"Freshwater wetland microbial communities from Ohio, USA - Open water 3 Core 3 Depth 4 metaG"	DOE Joint Genome Institute (JGI)	1/9/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	3/10/17	Illumina HiSeq 2500-1TB	4928865836	10622330	54.8	37.91	7820	"H2, Ac"	Both	41.3778	-82.5108	christopher.s.miller@ucdenver.edu	Christopher S. Miller	Unrestricted	Unrestricted	Unrestricted
X3300024056	3300024056	*Microbiome	Permanent Draft	Wetland (freshwater)	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls"	"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (PacBio error correction)"	DOE Joint Genome Institute (JGI)	3/7/18	metalrec/blasr v. metalrec version 1.0.2/blasr 1.3.1	Yes	5/6/18	"Illumina HiSeq 2500-1TB, PacBio RS, PacBio RS II"	1032371729	1923871	57.93	25.69	6268	"H2, Ac"	Both	41.384	-82.513	christopher.s.miller@ucdenver.edu	Christopher S. Miller	Unrestricted	Unrestricted	Unrestricted
X3300045825	3300045825	*Microbiome	Permanent Draft	Wetland (freshwater)	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from wetland, North Slope, Alaska, United States - OKS_WetSedge1_8July2019"	DOE Joint Genome Institute (JGI)	5/28/21	metaspades v. 3.14.1	Yes	7/25/21	Illumina NovaSeq S4	1521956444	2503459	56.47	39.71	7325	"H2, Ac"	Both	68.6727	-149.1378	demerson@bigelow.org	David Emerson	Unrestricted	Unrestricted	Unrestricted
X3300045918	3300045918	*Microbiome	Permanent Draft	Wetland (freshwater)	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from wetland, North Slope, Alaska, United States - OKS_WetSedge1_19July2019"	DOE Joint Genome Institute (JGI)	6/9/21	metaspades v. 3.14.1	Yes	8/7/21	Illumina NovaSeq S4	1813869165	2951246	56.5	39.02	8028	"H2, Ac"	Both	68.6727	-149.1378	demerson@bigelow.org	David Emerson	Unrestricted	Unrestricted	Unrestricted
X3300045919	3300045919	*Microbiome	Permanent Draft	Wetland (freshwater)	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from wetland, North Slope, Alaska, United States - TFS_WetSedge10_20July2019"	DOE Joint Genome Institute (JGI)	6/9/21	metaspades v. 3.14.1	Yes	8/7/21	Illumina NovaSeq S4	1719389679	2721475	61.22	38.89	6730	"H2, Ac"	Both	68.6254	-149.5895	demerson@bigelow.org	David Emerson	Unrestricted	Unrestricted	Unrestricted
X3300045963	3300045963	*Microbiome	Permanent Draft	Wetland (freshwater)	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from wetland, North Slope, Alaska, United States - TFS_WetSedge10_9July2019"	DOE Joint Genome Institute (JGI)	6/28/21	metaspades v. 3.14.1	Yes	8/24/21	Illumina NovaSeq S4	1182359512	1873624	61	39.45	6516	"H2, Ac"	Both	68.6254	-149.5895	demerson@bigelow.org	David Emerson	Unrestricted	Unrestricted	Unrestricted
X3300045993	3300045993	*Microbiome	Permanent Draft	Wetland (freshwater)	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from wetland, North Slope, Alaska, United States - OKS_WetSedge1_19June2019"	DOE Joint Genome Institute (JGI)	7/1/21	metaspades v. 3.15.2	Yes	8/29/21	Illumina NovaSeq S4	1832029598	3033133	58.58	38.88	8770	"H2, Ac"	Both	68.6727	-149.1378	demerson@bigelow.org	David Emerson	Unrestricted	Unrestricted	Unrestricted
X3300046018	3300046018	*Microbiome	Permanent Draft	Wetland (freshwater)	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from wetland, North Slope, Alaska, United States - TFS_WetSedge10_22June2019"	DOE Joint Genome Institute (JGI)	7/5/21	metaspades v. 3.15.2	Yes	9/1/21	Illumina NovaSeq S4	1590930493	2584843	60.8	39.97	7183	"H2, Ac"	Both	68.6254	-149.5895	demerson@bigelow.org	David Emerson	Unrestricted	Unrestricted	Unrestricted
X3300032264	3300032264	*Microbiome	Permanent Draft	Ocean	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from mineral coupon in-situ incubated in ocean water Catalina island, California, United States - Pyrrhotite"	DOE Joint Genome Institute (JGI)	12/26/18	spades v. 3.13.0	Yes	2/24/19	Illumina NovaSeq	2969519	4493	42.98	63.19	1317	Me	Both	33.445	-118.4843	demerson@bigelow.org; jbeam@bigelow.org	David Emerson; Jake Beam	Unrestricted	Unrestricted	Unrestricted
X3300032254	3300032254	*Microbiome	Permanent Draft	Ocean	Sediment chemolithoautotrophic microbial communities from various locations	"Microbial mat bacterial communities from mineral coupon in-situ incubated in ocean water Damariscotta River, Maine, United States - 3-month chalcopyrite"	DOE Joint Genome Institute (JGI)	12/26/18	spades v. 3.13.0	Yes	2/24/19	Illumina NovaSeq	421264889	709658	47.65	35.6	6163	Me	Both	43.8603	-69.5781	demerson@bigelow.org; jbeam@bigelow.org	David Emerson; Jake Beam	Unrestricted	Unrestricted	Unrestricted
