Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	0.000626976	8.70E-05	0.00046266	2.50E-05	8.32E-05	3.57E-05	5.77E-05	0.000106123	0.00108972	0.000224618	1.92E-05	0.000136485	0.000779187	0	0.000157638	0.004179781	0.001175975	9.01E-05	0	0	0.000182072	0.000249612	0.001764667	0.001204497
k__Bacteria;p__Firmicutes;Other	0.001123331	0.001544217	3.86E-05	0.000400661	4.16E-05	0.00010699	0.00017323	3.54E-05	0	0.001151168	0.000250245	2.73E-05	0.001038916	0.00079574	0.000210183	0.000176256	0.000976281	9.01E-05	0.00061047	0	0.000161842	0.000213953	0.00053273	0.000267666
k__Bacteria;p__Firmicutes;c__Bacilli	0.00078372	2.17E-05	0.003219339	0.000250413	0.00016632	7.13E-05	0.000202102	0.000495242	0.00072648	5.62E-05	0.000230996	0.001774308	0.000389594	0.000642713	0.000972098	0.000679844	0.000110941	0.000180131	0.000127181	0.00024645	0.000101151	0.000231783	0.000665912	6.69E-05
k__Bacteria;p__Firmicutes;c__Clostridia	0.0006531	0.003197181	3.86E-05	0.003205289	0.002806653	0.000142653	0.000606306	0.007357883	0	0.001768868	0.001828717	0.000191079	0.002034544	0.003733856	0.000289002	2.52E-05	0.00284009	0.000810592	0.001195503	0.000924186	0.000242763	0.001889921	0.00053273	0.001204497
k__Bacteria;p__GAL15;c__	0	0	0	0	0	0	5.77E-05	0	0	0	0	0.000136485	0	0	0	0	0	0	0	0	2.02E-05	0	0	0
k__Bacteria;p__GN02;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	5.04E-05	0	0	0	0	2.02E-05	0	0	0
k__Bacteria;p__GN02;c__3BR-5F	2.61E-05	0	0	0	0	0	0	0	0	0	0	0	4.33E-05	0	0	5.04E-05	0	0	0	0	2.02E-05	8.91E-05	3.33E-05	0
k__Bacteria;p__GN02;c__BB34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GN02;c__BD1-5	0	0	0	0	4.16E-05	0	0	3.54E-05	0	0	3.85E-05	0	4.33E-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GN02;c__GKS2-174	0.000835968	0.000152247	9.64E-05	0	0.000893971	0.000463623	0.000866151	0.000778238	0.00036324	0.000280773	5.77E-05	0	0.00095234	6.12E-05	0.000893279	0.000579126	0.000199694	0.000180131	0.000813959	0	0.000323684	0.001872092	0.000566025	0.000802998
k__Bacteria;p__GN02;c__GN07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GN02;c__GN10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	3.33E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	0.002769142	0.000239245	0.001465088	2.50E-05	0.00022869	0.001533524	0.001443585	0.000707489	0.004722121	0.000533468	0.000269495	5.46E-05	0.001601662	0.000459081	0.006436866	0.000881279	0.001220351	9.01E-05	0.002136643	3.08E-05	0.002892921	0.001105425	0.003196377	0.001204497
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	0	0	1.93E-05	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	0	0	0	0	0	6.07E-05	0	3.33E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3	0.000470232	2.17E-05	3.86E-05	0	2.08E-05	0	0	0	0	0.000870395	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	6.66E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5	0.000156744	2.17E-05	0.000250607	0	0.00012474	7.13E-05	0.000433075	0.000565991	0.00108972	0.000393082	9.62E-05	5.46E-05	0	0	0.000499186	0.000352512	6.66E-05	0.000180131	2.54E-05	0	0.000647367	0.000178294	0.000965572	0.000133833
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.031740641	0.043934055	0.015691869	0.052787099	0.08981289	0.006669044	0.034703776	0.082988433	0.050853614	0.038213163	0.026333519	0.014385543	0.064282931	0.033268042	0.042404498	0.031549792	0.051565378	0.019634333	0.037772804	0.005175441	0.033015719	0.039171287	0.047179863	0.029376338
k__Bacteria;p__Kazan-3B-28;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__MVP-21;c__	7.84E-05	2.17E-05	3.86E-05	5.01E-05	0	0.000249643	0.000866151	0.00095511	0	0.001375786	0.000115498	2.73E-05	0.000129865	0.000153027	0.000105092	0.000125897	0	0.000540394	7.63E-05	6.16E-05	0.000121381	0.000142636	9.99E-05	0
k__Bacteria;p__NKB19;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__NKB19;c__TSBW08	0	0	1.93E-05	0	0	0	0	0	0.00036324	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	3.33E-05	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	0.004989681	0.000674236	0.001619308	0.000225372	0.000602911	0.001462197	0.004301882	0.000601365	0.004722121	0.002049641	0.005370652	0.001883496	0.003636206	0.00125482	0.012427093	0.000881279	0.002817901	0.001801315	0.003586509	0	0.007889786	0.00543798	0.005427183	0.001739829
k__Bacteria;p__OD1;Other	0	8.70E-05	0	0	8.32E-05	7.13E-05	0	0	0	0	0	0	0.000216441	0	5.25E-05	0	6.66E-05	9.01E-05	0	0	2.02E-05	0.000231783	9.99E-05	0.000200749
k__Bacteria;p__OD1;c__	0.000235116	8.70E-05	3.86E-05	0	2.08E-05	0	0.000230974	0.000353744	0	0.000140386	3.85E-05	0	0.000303017	0	5.25E-05	2.52E-05	0	0	0.000127181	0	0.000121381	0.000356589	3.33E-05	0.000736081
k__Bacteria;p__OD1;c__ABY1	2.61E-05	2.17E-05	0	0	2.08E-05	3.57E-05	0	7.07E-05	0	0	0	0	0.000216441	0	0.000761915	7.55E-05	0.000133129	9.01E-05	0	0	4.05E-05	0.000196124	0	0.000602248
k__Bacteria;p__OD1;c__Mb-NB09	5.22E-05	6.52E-05	0	0	0.001975052	0	0	3.54E-05	0	0	0	0	0	0	2.63E-05	0	8.88E-05	0	0	0	6.07E-05	0.000142636	6.66E-05	0.000669165
k__Bacteria;p__OD1;c__SM2F11	0.001044959	0.000391492	0.00030844	0.000475785	0.000623701	0.00053495	0.000779536	0.001450352	0	0.000758086	0.000134748	0	0.000865763	0.001928139	0.000656823	0.000604306	0.000355011	0.000450329	0.001170067	0.000154031	0.000748518	0.002264339	0.000632616	0.001472163
k__Bacteria;p__OD1;c__ZB2	0.002873638	0.001217974	0.001079539	0.00057595	0.003160083	0.002282454	0.0015302	0.001768722	0.00036324	0.000673854	0.000846985	0.000245673	0.001558374	0.000367264	0.001550102	0.001561123	0.000909716	0.000720526	0.001627919	3.08E-05	0.00184095	0.013086812	0.00166478	0.004617238
k__Bacteria;p__OP11;Other	0	0	1.93E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142636	0	0
k__Bacteria;p__OP11;c__	0	0	0	0	0	0	0	0.000176872	0	0	0	0	0	0	0.000105092	0	0.000110941	0	0	0	0	0	0	0
k__Bacteria;p__OP11;c__OP11-1	0	0	0	0	0.00037422	0	0	7.07E-05	0	0	0	0	0	0	0	5.04E-05	0	0	0	0	0	3.57E-05	9.99E-05	6.69E-05
k__Bacteria;p__OP11;c__OP11-3	0	0	1.93E-05	0	0	3.57E-05	0	0	0	0	0	0	0.000216441	0	2.63E-05	0	0	0	0	0	4.05E-05	8.91E-05	0	0.000200749
k__Bacteria;p__OP11;c__OP11-4	0	0	1.93E-05	2.50E-05	0	3.57E-05	0	3.54E-05	0	5.62E-05	1.92E-05	0	0.000129865	0	7.88E-05	0	0	0	0	0	0.000101151	8.91E-05	0	0.000200749
k__Bacteria;p__OP11;c__WCHB1-64	0	2.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52E-05	0	0	5.09E-05	0	2.02E-05	0	0	6.69E-05
k__Bacteria;p__OP3;c__PBS-25	0	0	1.93E-05	0	2.08E-05	0	0	0	0	0	0	0	0	0	0.001182282	0	0	0	0	0	4.05E-05	0.000106977	9.99E-05	0.000133833
k__Bacteria;p__OP3;c__koll11	0	0.000108748	9.64E-05	0	2.08E-05	0	2.89E-05	0	0.00036324	0	0	0	0	0	0.001760286	2.52E-05	6.66E-05	0	2.54E-05	0	0.000202302	0.000356589	0.000466138	0.001003747
k__Bacteria;p__OctSpA1-106;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-05	0	0
k__Bacteria;p__Planctomycetes;Other	2.61E-05	0	3.86E-05	0	0	0	5.77E-05	0	0	0	0	0	0	3.06E-05	0.000341548	2.52E-05	0.000133129	9.01E-05	0	0	0	0	3.33E-05	0
k__Bacteria;p__Planctomycetes;c__	0	0	0	0	0	0	0	0	0.00036324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018391	0	0	0	0	0	0	3.57E-05	0	0
k__Bacteria;p__Planctomycetes;c__BD7-11	0	0.00045674	0	0	6.24E-05	0	0.000144358	0.001167356	0.00036324	0.000168464	0	2.73E-05	0.000606034	0.000734529	0.00063055	2.52E-05	0.001175975	0.000720526	0.000788523	0	0.00095082	0.000481395	0.000199774	0.00113758
k__Bacteria;p__Planctomycetes;c__C6	0	0	0.000115665	0	0	0	0	0	0	0	0	0	4.33E-05	0	0.000499186	0	0	0	0	0	4.05E-05	8.91E-05	6.66E-05	0
k__Bacteria;p__Planctomycetes;c__OM190	0	0	0.00015422	0	0	0	2.89E-05	0	0.00072648	0	0	0	0	0	0.000972098	0	0	0	0	0	0.000202302	5.35E-05	0.00029966	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	0.007445336	0.00791683	0.009060416	0.00190314	0.008274428	0.014336662	0.009758633	0.008808235	0.009081003	0.007777403	0.008084852	0.007861549	0.011298212	0.006886209	0.018758867	0.012514163	0.005125474	0.012519139	0.004756575	0.002094821	0.012583197	0.017722467	0.017014051	0.006691649
k__Bacteria;p__Planctomycetes;c__Pla3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Pla4	0	6.52E-05	0	0	0	0	0	0	0	0	0	0	0	0.000153027	0.000157638	0	0.000931904	9.01E-05	0.000127181	0	8.09E-05	5.35E-05	3.33E-05	0.000267666
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.038141017	0.031275828	0.02455951	0.027795863	0.029043659	0.040834522	0.044722254	0.030775761	0.053033055	0.040206649	0.037017074	0.051373041	0.047097528	0.041562098	0.040959487	0.045801335	0.037653376	0.046293794	0.043343338	0.039062259	0.052011895	0.039724	0.049577146	0.034328158
k__Bacteria;p__Planctomycetes;c__vadinHA49	0.003683482	0.001522467	0.001002429	0.000300496	0.004864865	0.0032097	0.001847788	0.000848987	0.005085361	0.00092655	0.000615989	0.00027297	0.00212112	0.006304707	0.001996742	0.001838096	0.005968626	0.000720526	0.00445134	0	0.000546216	0.002924029	0.002297396	0.003345824
k__Bacteria;p__Proteobacteria;Other	0.000548604	0.001283222	0.000751822	0.000826363	0.003991684	0.00053495	0.000664049	0.000672114	0.00036324	0.000280773	0.000712237	0.000382159	0.000865763	0.000979372	0.001497557	0.00083092	0.001264727	0.000720526	0.001780536	0.00720865	0.000768748	0.00158682	0.00136512	0.001873662
k__Bacteria;p__Proteobacteria;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	8.88E-05	0	0	0	0	1.78E-05	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.054181144	0.079886032	0.110672013	0.083437672	0.082058212	0.071077033	0.076971937	0.062435884	0.154013803	0.088331087	0.092513812	0.07569471	0.074542228	0.095427557	0.057327518	0.085181921	0.084803302	0.092947852	0.054051992	0.091217153	0.12878558	0.072262735	0.095824732	0.086924518
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.035397999	0.046413502	0.048444307	0.03002454	0.098565489	0.018295292	0.036320591	0.106229439	0.099164548	0.058513028	0.05536199	0.047933614	0.057183672	0.035747077	0.074221008	0.047362458	0.068938738	0.037377285	0.065600041	0.012815378	0.058586717	0.045750352	0.054038756	0.078626874
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.033490948	0.047392231	0.024925782	0.034782391	0.036153846	0.023323823	0.027168264	0.048816725	0.067925899	0.040290881	0.026680013	0.010400175	0.056491061	0.06583216	0.034837896	0.03036636	0.048104018	0.028370711	0.045505418	0.008902991	0.034634136	0.044252679	0.031431045	0.0564106
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.009561378	0.024794467	0.008751976	0.012295287	0.052827443	0.008773181	0.017813835	0.011744314	0.03487105	0.009686658	0.010183064	0.020936835	0.025020562	0.022188896	0.019678419	0.011305552	0.042312898	0.020264793	0.072849367	0.002926589	0.032975258	0.022679052	0.02254112	0.046975375
k__Bacteria;p__Proteobacteria;c__TA18	0.000574728	6.52E-05	0.001214481	2.50E-05	6.24E-05	0.00032097	0.000259845	0.000495242	0.00108972	0.000196541	3.85E-05	2.73E-05	0.000129865	0.000214238	0.000709369	0.001032356	0.000110941	0.000540394	0.000178054	0	0.000323684	0.000499224	0.000665912	0.000869914
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	0.00026124	8.70E-05	0.00015422	0	4.16E-05	0.000142653	0.000837279	0	0.00036324	2.81E-05	3.85E-05	0.0009281	0.000303017	0	0.000919552	0.000377691	0.00024407	0.000450329	0.000508725	0	0.001072202	0.000285271	0.001298528	6.69E-05
k__Bacteria;p__SR1;c__	0.00026124	0	0.00023133	0	2.08E-05	0	0	0	0	0.000168464	0	0	0	0	0	2.52E-05	0	0	0	0	0	0	6.66E-05	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__TM6;Other	0	2.17E-05	7.71E-05	0	0	0	0	0	0	5.62E-05	0	0	0	0	0	0	6.66E-05	0	0	3.08E-05	0	1.78E-05	0	0
k__Bacteria;p__TM6;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44E-05	0	0	0	0	0	0	0
k__Bacteria;p__TM6;c__F38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__TM6;c__SBRH58	0	0.00047849	0	0	0	3.57E-05	0	0	0	0	0	0.000109188	0.000129865	0	0.000131365	2.52E-05	0	0	0	0	6.07E-05	7.13E-05	3.33E-05	0
k__Bacteria;p__TM6;c__SJA-4	0.000365736	0.000761234	7.71E-05	2.50E-05	0.001060291	3.57E-05	0.00034646	7.07E-05	0.00036324	0.000112309	0.000250245	0.00027297	0.000259729	0.000214238	0.000919552	0.000176256	0.000931904	0.000270197	0.00040698	0	0.000404604	0.000659689	0.000599321	0.000669165
k__Bacteria;p__TM7;Other	0	0	0	0	0	0	0	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__TM7;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.07E-05	0	0	0
k__Bacteria;p__TM7;c__MJK10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__TM7;c__SC3	0.001123331	0.001000478	0.000346995	0.00075124	0.022993763	0.000606277	0.001183739	0.003183699	0.00108972	0.000786164	0.001251227	0.000354862	0.001558374	0.001622085	0.00063055	0.001233791	0.000110941	0.000990723	0.000279799	0.000523705	0.000667597	0.001194573	0.000998868	0.001003747
k__Bacteria;p__TM7;c__TM7-1	0.00026124	0.000347993	0.000115665	0.000125207	0.000935551	3.57E-05	8.66E-05	0.000707489	0.00036324	0.000112309	0.000346494	2.73E-05	0.000216441	0.000244843	0.000315275	0.000201435	4.44E-05	9.01E-05	0.000152617	3.08E-05	0.000202302	0.000427907	0.000399547	6.69E-05
k__Bacteria;p__TM7;c__TM7-3	0	2.17E-05	3.86E-05	0	6.24E-05	0	0	0	0	5.62E-05	1.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.69E-05
k__Bacteria;p__Tenericutes;c__Mollicutes	0	2.17E-05	0.00015422	0	0	0	8.66E-05	0	0.002905921	5.62E-05	0.000577489	2.73E-05	4.33E-05	9.18E-05	0	0.001133073	0	0.000360263	0	0	0.000262993	5.35E-05	0.001298528	6.69E-05
k__Bacteria;p__Verrucomicrobia;Other	0.000182868	4.35E-05	0.00038555	0	0.00014553	0.00042796	0.000115487	3.54E-05	0	8.42E-05	5.77E-05	0.000136485	8.66E-05	3.06E-05	0.000420367	0.000125897	2.22E-05	0	5.09E-05	3.08E-05	0.000121381	0.001016278	0.000332956	0.000200749
k__Bacteria;p__Verrucomicrobia;c__	2.61E-05	0	3.86E-05	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	2.54E-05	0	0	1.78E-05	3.33E-05	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.001776431	0.006590108	0.006573621	0	0.002349272	0.005456491	0.002627324	0.001662599	0.004358881	0.001179245	0.000307994	0.002838893	0.003289901	0.002754484	0.003284115	0.004507113	0.004016064	0.004503287	0.006918655	0	0.003337986	0.017526343	0.006759006	0.017866702
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	1.78E-05	0	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	7.84E-05	0.000152247	0.003392836	2.50E-05	0.002723493	0	0.000115487	7.07E-05	0.00036324	0.000393082	0.000173247	0.000354862	4.33E-05	0	0.001050917	0.000226615	0.000421576	0	0.000279799	0	0.000445065	0.000445736	0.001897849	0.000133833
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]	2.61E-05	4.35E-05	7.71E-05	0	0	0.00010699	0.000230974	0	0	2.81E-05	0	0.000109188	0.000303017	0	0.001103463	0	0.000177506	9.01E-05	0.000127181	0	0.000566446	0.00096279	0.000332956	0.004751071
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	0.003787978	0.003914916	0.005686857	7.51E-05	0.002910603	0.000891583	0.005196905	0.004810924	0.008717762	0.002639263	0.001751718	0.001637823	0.008657634	0.000122421	0.021491251	0.006647362	0.008120881	0.004413222	0.006944091	3.08E-05	0.014525298	0.033911602	0.011753346	0.015390792
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	0.156979022	0.042172343	0.125727725	0.0634547	0.015405405	0.169543509	0.129662779	0.052424918	0.062114057	0.102931267	0.110974225	0.153245619	0.125102809	0.05723205	0.15711208	0.107767846	0.054937984	0.093578312	0.08902681	0.039585965	0.155792923	0.119475101	0.126922821	0.094218415
k__Bacteria;p__WPS-2;c__	0.031035294	0.018073861	0.001002429	0.067235939	0.004178794	0.032952924	0.042903338	0.014715766	0.003269161	0.008928571	0.021001367	0.038516133	0.030994329	0.086919263	0.001550102	0.014931386	0.01577581	0.047104386	0.036653609	0.062505776	0.016184176	0.006044181	0.006059799	0.02609743
k__Bacteria;p__WS2;c__SHA-109	0	0	0.000134942	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	2.22E-05	0	0	0	2.02E-05	1.78E-05	6.66E-05	0
k__Bacteria;p__WS3;c__PRR-12	0	0	9.64E-05	0	0	0	5.77E-05	7.07E-05	0.002179441	2.81E-05	5.77E-05	0	0.001904679	0	0.005911408	0	4.44E-05	0.000270197	7.63E-05	0	0.000485525	0.001372867	0.001731371	0
k__Bacteria;p__WS5;c__	0	0	0	0	4.16E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__ZB3;c__BS119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi];c__Deinococci	0.000208992	0.00091348	0.000289162	0.000976611	6.24E-05	3.57E-05	5.77E-05	0.000389119	0	0.000842318	0.000192496	0.000109188	0.000216441	0.001499663	0.000472913	0.000151076	0.001065034	0.000270197	0.000356107	0.000770155	4.05E-05	0.000106977	9.99E-05	0.000133833
