Taxon	V1	V2	V3	V4	V5	V6	V7	V8	B1	B2	B3	B4	B5	B6	B7	B8
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.007042254	0.006619718	0.006971831	0.014507042	0.005915493	0.012253521	0.004788732	0.005774648	0.003028169	0.003591549	0.007042254	0.005704225	0.002535211	0.003661972	0.006830986	0.003591549
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329	0.011760563	0.006619718	0.007464789	0.021338028	0.013732394	0.025422535	0.011619718	0.009225352	0.00443662	0.003591549	0.00443662	0.005352113	0.003309859	0.003591549	0.005492958	0.003591549
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.070774648	0.064295775	0.05584507	0.08915493	0.065422535	0.075985915	0.056267606	0.055422535	0.05084507	0.045422535	0.05415493	0.043873239	0.046408451	0.041478873	0.055352113	0.054929577
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000352113	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.061830986	0.088802817	0.09084507	0.052464789	0.037535211	0.055704225	0.064084507	0.065	0.050774648	0.051267606	0.052535211	0.039084507	0.039577465	0.044014085	0.031690141	0.077605634
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	0.002957746	0.002676056	0.003098592	0.003169014	0.001760563	0.003309859	0.005704225	0.002957746	0.001549296	0.000492958	0.00056338	0.000915493	0.000774648	0.000352113	0.001971831	0.001549296
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.006760563	0.009084507	0.012676056	0.008873239	0.008380282	0.019647887	0.006478873	0.003098592	0.006338028	0.003661972	0.007605634	0.005492958	0.002676056	0.003732394	0.011760563	0.006408451
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	0.000211268	0	0	0.000492958	0.000492958	0	0.000140845	0.000211268	7.04E-05	0	0.000140845	0.000492958	7.04E-05	0.000211268	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	7.04E-05	0.000140845	0.001549296	7.04E-05	0.001338028	0.000492958	0.00084507	0.000352113	0.000915493	0.000774648	0.000704225	0	0.000422535	0.001126761	7.04E-05	0.000985915
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b	0.014295775	0.012746479	0.007323944	0.004507042	0.017464789	0.005422535	0.012394366	0.005492958	0.008802817	0.007957746	0.007605634	0.00443662	0.006901408	0.006690141	0.007253521	0.00528169
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.01028169	0.011901408	0.014647887	0.017464789	0.012746479	0.023732394	0.00971831	0.008309859	0.009647887	0.009366197	0.006690141	0.010985915	0.002253521	0.007183099	0.02943662	0.007887324
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067	0	0.000211268	7.04E-05	0.000492958	0.002535211	0.002605634	0.000211268	0.001056338	0.000774648	0.000774648	0.001126761	0.000422535	0.000704225	0.001126761	0.001267606	0.000633803
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1	0	0	0	0	0	0	0	0	0.000140845	0	0.000140845	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	0	0	0	0	0	0	0	0	7.04E-05	0	0	0	7.04E-05	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales	0	0	0	0.00028169	0	0	0	0	7.04E-05	7.04E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0.000211268	0	0	7.04E-05	0	0.000352113	0	0	0.000422535	0	0	0	0	0	0.000352113	7.04E-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84	0.00056338	0	0.00028169	0.000211268	0.000774648	0.00028169	0	0.000211268	7.04E-05	0	0.000140845	0	0	7.04E-05	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;Other	0.000211268	0.000422535	0.000774648	0.000915493	7.04E-05	0.00028169	0.000985915	0.000492958	0.00028169	7.04E-05	0.000422535	0.000492958	0.000352113	0.00028169	0.000422535	0.000492958
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	0.002112676	0.001126761	0.001760563	0.001408451	0.002746479	0.002183099	0.000774648	0.001267606	0.000774648	0.000492958	0.000774648	0.001549296	0.001267606	0.000704225	0.001549296	0.000774648
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	0.000633803	0.001056338	0.000140845	0.000211268	0.000985915	0.001549296	0.000352113	0.000211268	0.001478873	0.000492958	0.00056338	0.000140845	0.00084507	0.000774648	0.002394366	0.000915493
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__FAC87	0.000352113	0.000140845	0.000352113	7.04E-05	0.000140845	0.00084507	0.000704225	7.04E-05	0.000140845	0.000211268	0.000211268	0.00028169	0.000352113	0.000211268	0.000140845	0.000492958
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46	0.001971831	0.002112676	0.001690141	0.003450704	0.002253521	0.002605634	0.002605634	0.003028169	0.002887324	0.003591549	0.001619718	0.002183099	0.001338028	0.002535211	0.001690141	0.002464789
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0.013661972	0.013098592	0.015492958	0.024788732	0.019507042	0.028732394	0.01528169	0.012605634	0.01528169	0.007464789	0.013732394	0.013591549	0.007183099	0.015070423	0.013802817	0.018239437
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Spirobacillales	0.00028169	0.000211268	0.000422535	0.001408451	0.000352113	0.000352113	0.00028169	0.000492958	0	0	0.00028169	0.000140845	0	0	0.000211268	7.04E-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	0.002957746	0.001901408	0.002183099	0.000422535	0.002605634	0.001197183	0.002605634	0.001408451	0.003098592	0.002605634	0.001760563	0.001126761	0.003098592	0.002323944	0.003028169	0.002957746
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__[Entotheonellales]	0	0	0	0	0.00028169	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.000211268	0.000352113	7.04E-05	0	0.000774648	0.00056338	0	7.04E-05	0.000211268	0.000140845	0.000492958	7.04E-05	0.000352113	7.04E-05	0.000211268	0.00028169
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	0	0	0	0	0.000140845	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	0.003943662	0.002816901	0.001549296	0.002746479	0.002394366	0.004577465	0.001619718	0.003169014	0.001056338	0.000211268	0.001549296	0.001267606	0.002183099	0.001901408	0.002746479	0.001197183
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales	0	0	0	0	0	0	7.04E-05	7.04E-05	0	0	7.04E-05	0	0	7.04E-05	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.000211268	0	0.000211268	7.04E-05	0	0.00084507	0	0	0.000352113	0	0	0.004225352	0	0	0.001408451	7.04E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0.039225352	0.025704225	0.021619718	0.065422535	0.033098592	0.029295775	0.02971831	0.029507042	0.018591549	0.010915493	0.018169014	0.01415493	0.014295775	0.012816901	0.016760563	0.016197183
k__Bacteria;p__Proteobacteria;c__TA18;o__CV90	0	0	0.000140845	0	0	0.000211268	0	0	0.000211268	0	0	0	0	0.000140845	0	0
k__Bacteria;p__Proteobacteria;c__TA18;o__PHOS-HD29	0	0	0	0	0.000140845	0	0.000140845	0	0.000140845	0	0	0	0.000140845	0	0	7.04E-05
k__Bacteria;p__TM6;c__SBRH58;o__	7.04E-05	0.000140845	7.04E-05	0.001549296	0.00028169	0.00056338	0	0	0	0	0	0.000211268	0	7.04E-05	0.000140845	0
k__Bacteria;p__TM6;c__SJA-4;o__	0.000492958	0.000140845	7.04E-05	0.000140845	0.000140845	0.000140845	0.000140845	0.000915493	0	0	0	0.000140845	0.00028169	7.04E-05	0.000492958	0.00028169
k__Bacteria;p__TM7;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140845	0
k__Bacteria;p__TM7;c__SC3;o__	0.000774648	0.000704225	0.00056338	0.001901408	0.001690141	0.002746479	0.000985915	0.001619718	0.001056338	0.00084507	0.000352113	0.000492958	0.000140845	0.000633803	0.003802817	0.00028169
k__Bacteria;p__TM7;c__TM7-1;o__	0.001126761	0.000211268	0.000140845	0.000633803	0.00028169	0.000492958	0.000140845	7.04E-05	7.04E-05	7.04E-05	0	0	0	0	0.00056338	0
k__Bacteria;p__Tenericutes;c__Mollicutes;Other	0	0	0	0	7.04E-05	7.04E-05	0	0	0	0	0	0	7.04E-05	7.04E-05	7.04E-05	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	0.000915493	0.000211268	0.000422535	0.000915493	0.000422535	0.000352113	0.001197183	0.000774648	0.000492958	0.00056338	7.04E-05	0.00028169	0.00056338	0.000211268	0.001478873	0.000211268
k__Bacteria;p__Verrucomicrobia;Other;Other	0	0	7.04E-05	0	0.000140845	0.000211268	7.04E-05	0	0	0	0	7.04E-05	0	0.00028169	0.000140845	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;Other	0	0	0.000140845	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales	0.00056338	0.000774648	0.000985915	0.003873239	0.002183099	0.000422535	0.000915493	0.000633803	0.002957746	0.00084507	0.000774648	0.004507042	0.001408451	0.003732394	0.003380282	0.003309859
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0	0	0.000352113	0.000140845	0.000422535	0.000422535	7.04E-05	7.04E-05	7.04E-05	0	0.000140845	0.000140845	7.04E-05	0.000422535	0.000211268	0
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__Methylacidiphilales	0.00028169	7.04E-05	0.000211268	0.000774648	0.000492958	0.000422535	7.04E-05	0.000140845	0	0	7.04E-05	0	0.00028169	0.000211268	0.000352113	7.04E-05
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__S-BQ2-57	7.04E-05	0	0	0	0.00028169	0	0	0	0	0	7.04E-05	0	0	0	0	0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales]	0.005633803	0.003943662	0.002112676	0.00971831	0.008802817	0.009859155	0.002887324	0.003380282	0.003591549	0.001338028	0.002887324	0.001478873	0.001901408	0.003098592	0.003521127	0.001197183
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales]	0.054084507	0.069507042	0.098169014	0.034647887	0.117676056	0.03443662	0.081478873	0.054084507	0.095211268	0.09556338	0.092323944	0.052183099	0.091478873	0.074084507	0.06556338	0.066760563
k__Bacteria;p__WPS-2;c__;o__	0.023521127	0.026901408	0.026197183	0.021056338	0.04056338	0.026267606	0.023169014	0.014225352	0.02971831	0.032887324	0.037323944	0.028591549	0.03915493	0.024788732	0.029084507	0.024295775
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales	0	0	0	0	0	0	0	0	0.000140845	0	0	7.04E-05	0	0	0.000492958	0
