Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15	S.0.2015	S.30.2015	S.56.2015	S.63.2015	S.65.2015	S.66.2015	S.74.2015	S.95.2015	S.99.2015	S.104.2015	S.106.2015	S.120.2015	S.132.2015	S.139.2015	S.157.2015	S.159.2015			
k__Bacteria;p__Armatimonadetes;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	6.69E-05	2.65E-05	0	0	0	0	0	0	0	0	0	0	0	2.85E-05	0	0	0			
k__Bacteria;p__Armatimonadetes;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.70E-05	0	0	0			
k__Bacteria;p__Armatimonadetes;c__0319-6E2;o__	0.000888215	0.000173996	0.000771099	0.000150248	4.16E-05	0.000249643	0.000490819	0.000176872	0.00036324	0.000477314	0.000404243	0.000245673	0.000519458	0.000244843	0.000788188	0.000251794	0.00048814	0.000270197	0.000890268	0	0.00093059	0.000481395	0.000699208	0.001405246	0.000556439	0.000431789	0.000144571	0.00178047	0.000199491	0.000661738	0.000748302	0.000543589	0.000522632	0.000610294	0.000389029	0.000683739	0.000484344	0.000978899	0.000453472	0.000443989			
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales	0.000235116	0.000674236	0.001118094	0.001051735	0.000831601	0.000356633	0.000461947	0.002794581	0.00072648	0.00154425	0.000423492	0.000300268	0.000519458	0.000703924	0.000945825	0.001863276	0.000443764	9.01E-05	0.000254362	0	0.000161842	3.57E-05	0.000665912	6.69E-05	0.000397456	0.000119941	0.000433714	0.000440529	0.000498728	0.000226882	0.000338854	0.000373717	0.000499909	0.000406862	0.000194515	0.000310791	0.000370381	0.000217533	0.000264525	0.000136612			
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68	0.001593563	0.005981121	0.000732544	0.010867932	0.011018711	0.008844508	0.001818917	0.004421805	0.002542681	0.001403863	0.00273345	0.005104548	0.002250985	0.00575381	0.000972098	0.002165429	0.002107879	0.0065748	0.007096709	0.018606944	0.000708058	0.001034108	0.00113205	0.003479657	0.000211977	0.000695661	0.001445713	0.004680617	0.004014762	0.000907527	0.00129894	0.000441666	0.001136157	0.001288398	0.002723206	0.000435107	0.000370381	0.003843086	0.001794993	0.003278689			
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales	0.005094177	0.015790161	0.003007287	0.010291982	0.014615385	0.010057061	0.005918697	0.015777	0.002905921	0.007637017	0.007045371	0.005814271	0.009609974	0.015884189	0.004886764	0.009039406	0.007011471	0.006844997	0.008750064	0.005083023	0.004086504	0.005544957	0.004494906	0.007226981	0.001669316	0.011202533	0.002602284	0.009012482	0.010548102	0.002438978	0.002484928	0.002649997	0.005271769	0.005357022	0.002480062	0.001118846	0.001453033	0.006308462	0.002871989	0.004098361			
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__SJA-22	0.002612398	0.000391492	0.000481937	2.50E-05	0.00016632	0.004921541	0.000779536	0.000353744	0.00072648	0.000758086	0.000461992	0.000218376	0.001298645	0.001805717	0.002601019	0.000604306	0.002107879	0.00126092	0.001704228	0	0.000647367	0.00192558	0.001931145	0.000936831	0.000503445	0.002158946	0.000144571	0.000587372	2.49E-05	0.000907527	0.000437686	0.000781409	0.000522632	0.000745914	0.000389029	0.000310791	0.000398872	0.001558988	0.000604629	0.00034153			
k__Bacteria;p__Armatimonadetes;c__OPB50;o__	0.000208992	0.000152247	0.000212052	0.000275454	2.08E-05	0.000392297	2.89E-05	0.000212247	0	0.000168464	0.000115498	0	0.000259729	0.000550897	5.25E-05	0.000176256	8.88E-05	0.000270197	0.000152617	3.08E-05	6.07E-05	7.13E-05	0.000166478	0.000133833	5.30E-05	0.000239883	0.000144571	0.000477239	7.48E-05	9.45E-05	0.000112951	6.79E-05	6.82E-05	6.78E-05	9.73E-05	0	5.70E-05	0.000145022	7.56E-05	6.83E-05			
k__Bacteria;p__Armatimonadetes;c__SHA-37;o__	0.002011547	0.000326243	0.000867487	0	2.08E-05	7.13E-05	0.000664049	0.00502317	0	0.000673854	0.000327244	0.000109188	0.000173153	0	0.000814461	0.001838096	2.22E-05	0	7.63E-05	0	0.000323684	0.000142636	0.000765799	0	0.000105988	2.40E-05	0.000578285	0	0.000523665	0.000359229	0.000621232	0.000339743	0.000499909	0.000610294	0	0.000124316	0.000199436	3.63E-05	0	6.83E-05			
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__	2.61E-05	0	3.86E-05	0	0	0	0	0	0	0	1.92E-05	0	8.66E-05	0	5.25E-05	0	8.88E-05	0	0	0	0	3.57E-05	0.000233069	6.69E-05	2.65E-05	0	0	0	0	5.67E-05	2.82E-05	6.79E-05	2.27E-05	0.000135621	0	0	0	0	0	0			
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__TP122	0	0	0	0	0	0	0	7.07E-05	0	0	0	0	0	0	2.63E-05	5.04E-05	0	0	0	0	0	0	9.99E-05	0	0	0	0	0	0	1.89E-05	2.82E-05	0	0	0	4.86E-05	6.22E-05	2.85E-05	0	0	0			
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__	0	0	1.93E-05	0	0	0	2.89E-05	0	0	5.62E-05	5.77E-05	0	0	0	0	2.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	4.99E-05	0	0	0	2.27E-05	0	0	0	2.85E-05	0	0	0			
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	0.00412759	0.001109226	0.001330146	7.51E-05	0.00012474	0.000998573	0.003435732	0.000459868	0.00145296	0.002218104	0.001231978	0.001692417	0.00212112	0.000673318	0.002075561	0.00420496	0.001952562	0.001621183	0.0017551	0	0.00182072	0.005224027	0.001931145	0.002342077	0.000688924	0.001727157	0.001734856	0.000312041	0.002044786	0.001285663	0.001058918	0.001189101	0.00159062	0.00169526	0.001702004	0.000870214	0.00102567	0.003988108	0.002135097	0.001980874			
k__Bacteria;p__BHI80-139;c__;o__	0.000104496	2.17E-05	5.78E-05	0	0	0.00010699	5.77E-05	0	0.00072648	8.42E-05	0	0	0.000303017	3.06E-05	5.25E-05	0.000226615	0	0	0.000127181	0	6.07E-05	0.000178294	0.000233069	0.000267666	0.000238474	0.000119941	0.000144571	0.000128488	0	0.000207975	0.000169427	0.000305769	0.000249955	6.78E-05	0	0	8.55E-05	0.000580088	0.000245631	0.000204918			
k__Bacteria;p__BRC1;c__PRR-11;o__	0.000182868	0.000108748	0.000539769	0	4.16E-05	0	0.000115487	0	0.00108972	0.000140386	1.92E-05	0	0.000173153	0	0.000315275	0.000201435	4.44E-05	9.01E-05	0	0	2.02E-05	0.000124806	0.00053273	6.69E-05	0.000264971	2.40E-05	0.000867428	7.34E-05	0	0.000207975	0.000381211	0.000169872	0.000181785	0	0	0.000435107	0.000512835	3.63E-05	0	0			
k__Bacteria;p__Bacteroidetes;Other;Other	0.000888215	0.001304972	0.001927748	0.000400661	0.003679834	0.001747504	0.000808407	0.001521101	0.00072648	0.000898473	9.62E-05	0.000491347	0.000259729	0.001775112	0.000394094	0.00128415	0.000887528	0.000450329	0.001093758	0.000431287	0.000849669	0.000213953	0.00029966	0.000334582	0.000741918	0.001151438	0.000578285	0.000679148	0.001147075	0.000850806	0.000691827	0.000373717	0.000545355	0.000745914	0.000243143	0.000559423	0.000398872	0.0003263	0.000207841	0.000887978			
k__Bacteria;p__Bacteroidetes;c__At12OctB3;o__	0.00026124	2.17E-05	1.93E-05	2.50E-05	0	0.00021398	0.000461947	0.000353744	0	0.000477314	1.92E-05	0.000218376	8.66E-05	3.06E-05	0.000210183	0.000453229	0	9.01E-05	0	0	0.000182072	8.91E-05	6.66E-05	6.69E-05	0	0.000239883	0	0	0	0.000207975	0.000183546	3.40E-05	0.000113616	0.000406862	0.000194515	0	0	0	0.000113368	6.83E-05			
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	5.22E-05	0.006568359	0	0.001777934	0.015717256	0.002389444	2.89E-05	0.01545863	0	0.000645777	0.000384993	0	0.000562746	0.000489686	7.88E-05	5.04E-05	0.000266258	0.000450329	0.002009462	0.00129386	4.05E-05	0.000837984	0	0.00133833	0	0.000695661	0	0.002331131	0.02216847	5.67E-05	1.41E-05	6.79E-05	0.00043174	0.000406862	0	0.000124316	0	3.63E-05	0.000188947	0			
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.008777659	0.013876202	0.029436712	0.006711073	0.026756757	0.00374465	0.003118143	0.014079026	0.007628042	0.012803235	0.022599088	0.007288311	0.006103632	0.01264002	0.008512427	0.014604054	0.023009164	0.00297217	0.007249326	0.003665938	0.001699338	0.002264339	0.010088566	0.009301392	0.003762586	0.004869624	0.001879427	0.003230543	0.01960002	0.003441039	0.002710831	0.000781409	0.006271587	0.003729572	0.00476561	0.00198906	0.003475883	0.002102821	0.000434577	0.000751366			
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.000417984	0	0.001426534	2.50E-05	0.003617464	3.57E-05	0.00017323	7.07E-05	0.00108972	0.000112309	0.000153997	0.000218376	4.33E-05	0	0.000867006	0.001712199	0.000355011	0	0	3.08E-05	8.09E-05	5.35E-05	0.000499434	0	0.000397456	0.000455778	0.000578285	7.34E-05	0.00291756	0.000283602	0.000141189	0.000203846	0.000136339	6.78E-05	4.86E-05	0.000372949	0.000484344	0	1.89E-05	0			
k__Bacteria;p__Bacteroidetes;c__SM1A07;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.015543771	0.013267215	0.017966611	0.004231983	0.094116424	0.023751783	0.010884629	0.014255899	0.003995641	0.005503145	0.003734432	0.015450128	0.005151292	0.005845626	0.015763754	0.014478157	0.020635026	0.007655589	0.005290736	0.005945596	0.008557383	0.022679052	0.020776453	0.028305675	0.009406465	0.025643486	0.01069828	0.003817915	0.053663159	0.013650716	0.009276124	0.009037168	0.010066352	0.007391334	0.021493873	0.0126181	0.012792387	0.009498949	0.005743977	0.011851093			
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000289143	0	0	1.89E-05	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]	0	0	0.000212052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65E-05	0	0.000289143	0	0	0	0	0	0	0	0	0	8.55E-05	0	0	0			
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.100551216	0.072947932	0.179338397	0.039089498	0.14047817	0.036911555	0.062045271	0.114613181	0.082818743	0.090689578	0.080906273	0.08530327	0.041037185	0.066719716	0.097866639	0.15402241	0.038230269	0.036476628	0.032863611	0.055327932	0.036454856	0.042202293	0.096224279	0.044499465	0.047323794	0.047832658	0.029492555	0.020576358	0.141588948	0.050745874	0.05994889	0.02904804	0.075418106	0.062656812	0.054999027	0.053083043	0.054417505	0.031070988	0.013566368	0.029781421			
k__Bacteria;p__Chlamydiae;c__Chlamydiia;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66E-05	0	0	0	0	0	0	0	5.30E-05	2.40E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42E-05			
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__	0	4.35E-05	0	0	2.08E-05	0	0	0	0	0	0	0	0	0	0	0	6.66E-05	0	0	0	0	0	0	0	0	0.000167918	0	0	0.000498728	0	0	0	9.09E-05	0	0	0	0	0	0	0			
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	0.001018835	0.000956979	0.000212052	7.51E-05	0.001185031	0.000356633	0.000606306	0.000778238	0.00036324	0.000477314	0.000577489	0.00046405	0.000822475	0.000887556	0.000867006	0.000931638	0.000998469	0.000540394	0.000635906	0.000924186	0.00093059	0.001123255	0.000932277	0.000869914	0.000238474	0.000959532	0.000289143	0.000165198	0.000748092	0.000869713	0.00025414	6.79E-05	0.000977095	0.000203431	0.000145886	0.000870214	0.00034189	0.000435066	0.000888049	0.002083333			
k__Bacteria;p__Chlorobi;Other;Other	0	0	0.000173497	0	0	0	0	0	0	2.81E-05	0	0	0	0	2.63E-05	2.52E-05	0	0	0	0	2.02E-05	0	3.33E-05	0	2.65E-05	2.40E-05	0	0	0	5.67E-05	1.41E-05	0	0	0	0	6.22E-05	5.70E-05	0	0	0			
k__Bacteria;p__Chlorobi;c__;o__	0.001541315	0.00139197	1.93E-05	0.000275454	0.003388773	0.00160485	0.001241483	0.001839471	0.00036324	0.000533468	0.000461992	0.000764317	0.001212069	0.003152354	0.001103463	0.000352512	0.001930373	0.000720526	0.000992013	9.24E-05	0.00091036	0.002317828	0.000599321	0.001271413	0.000370959	0.003406338	0.000867428	0.00126652	0.005785248	0.00041595	0.000494162	0.000917307	0.000409017	0.000474673	0.001021202	0.000310791	0.000313399	0.001631499	0.001001417	0.000751366			
k__Bacteria;p__Chlorobi;c__BSV26;o__A89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000604277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chlorobi;c__BSV26;o__C20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000341548	0	0	0	0	0	2.02E-05	1.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chlorobi;c__BSV26;o__PK329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-05	3.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000186474	0	0	0	0			
k__Bacteria;p__Chlorobi;c__OPB56;o__	0.000235116	0	0.000809654	2.50E-05	0	7.13E-05	0.000144358	7.07E-05	0.00036324	0.000280773	0	5.46E-05	0	0	0.00063055	0.000453229	2.22E-05	9.01E-05	0	0	6.07E-05	1.78E-05	0.000732503	6.69E-05	0.000238474	2.40E-05	0.000433714	0	0	0.000586111	0.000494162	0.000271795	0.000159062	0.000271242	4.86E-05	0.000435107	0.000370381	0	3.78E-05	0			
k__Bacteria;p__Chlorobi;c__SJA-28;o__	0.0006531	0.000152247	0.000925319	0	6.24E-05	3.57E-05	0.000404204	0.00031837	0.00108972	5.62E-05	0.000115498	0.000245673	0.000303017	0	0.002627292	0.000251794	0.000177506	0	2.54E-05	0	0.00095082	0.000980619	0.002130918	0.001405246	0.000609433	0.000215895	0.000578285	1.84E-05	0	0.001455824	0.000748302	0.000611538	0.001204326	0.000881535	0.000340401	0.001181004	0.000769253	0.000471322	5.67E-05	3.42E-05			
k__Bacteria;p__Chloroflexi;Other;Other	0.00373573	0.011570751	0.000963874	0.003380578	0.00024948	0.0010699	0.001472456	0.001450352	0	0.001796945	0.002906697	0.000327565	0.003246613	0.008110424	0.0012611	0.001057535	0.00579112	0.001891381	0.00857201	0.003111426	0.001497036	0.001462014	0.001897849	0.00267666	0.000582936	0.001079473	0.000433714	0.002422907	0.00034911	0.001115502	0.00077654	0.000747435	0.002544992	0.001152777	0.000389029	0.000808056	0.000398872	0.00203031	0.001076996	0.000990437			
k__Bacteria;p__Chloroflexi;c__;o__	5.22E-05	0	3.86E-05	0	0	0	0	3.54E-05	0	8.42E-05	0.000115498	2.73E-05	0	3.06E-05	2.63E-05	2.52E-05	2.22E-05	0	0	0	0	7.13E-05	3.33E-05	0	2.65E-05	0	0	1.84E-05	0	5.67E-05	2.82E-05	0	4.54E-05	0	0	6.22E-05	0	3.63E-05	0	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;Other	0.000600852	0.000152247	0.000134942	0.000150248	0	0.00021398	0.000115487	0.000106123	0.00036324	0.000505391	3.85E-05	5.46E-05	0.000389594	0.000153027	0.00018391	2.52E-05	0.000288447	9.01E-05	0.000101745	0	0.000121381	0.000445736	0.000199774	0.000133833	0.000158983	0.000263871	0	7.34E-05	2.49E-05	0.000283602	0.00012707	0.000135897	0.000409017	0.000203431	4.86E-05	0.000124316	2.85E-05	0.000108767	7.56E-05	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__	0.001358447	0	1.93E-05	0	0	0.000606277	5.77E-05	0	0	0.000393082	7.70E-05	0	0.000129865	0.000306054	0.000105092	0	8.88E-05	0	2.54E-05	0	0	5.35E-05	0.000332956	6.69E-05	0.000158983	0	0	0	0	0.000321416	0	0	0.000295401	0	0	0.000124316	5.70E-05	0.000181278	0	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A31	0.004388829	4.35E-05	0.000578324	0	0.0002079	0.000249643	0.000490819	0.000353744	0.00036324	0.000814241	0.000288745	0	0.001168781	0	0.000867006	0.000100718	0.001930373	0.000990723	0.002721677	0	0.000708058	0.001747285	0.001398415	0.001405246	0.001404346	0	0.000578285	0.00154185	2.49E-05	0.00183396	0.000607113	0.002174356	0.001772405	6.78E-05	4.86E-05	0.001118846	0.000427363	0.002139076	0.000170052	6.83E-05			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenscatenales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78E-05	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales	0.000757596	0.000304493	0.000578324	2.50E-05	2.08E-05	0	0.000230974	0.000424493	0	0.001207323	0.000173247	0	0.000216441	0	0.00063055	0.000125897	0.000110941	0.000180131	0.000457852	0	0.000141612	0.000249612	0.000266365	0.000133833	0.000105988	2.40E-05	0.000289143	1.84E-05	0	0.000207975	0.000112951	3.40E-05	0.000704417	6.78E-05	0	0.000124316	0.000113963	7.25E-05	0.000264525	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39	5.22E-05	0.000695985	0.00023133	0.000100165	0	0.00021398	0.00034646	3.54E-05	0.00036324	8.42E-05	0.000307994	0.000191079	0.000692611	0	0.002653565	0.000100718	0.001619739	0.000810592	0.000457852	0	0.003520058	0.001016278	0.000599321	0.000267666	0.003444621	0.001463286	0.001156571	0.001560206	4.99E-05	0.001002061	0.001962528	0.00275192	0.001272496	0.000271242	4.86E-05	0.003107907	0.001111143	0.002175332	0.000453472	0.000375683			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031	0.002089919	0.005306886	0.002621737	5.01E-05	0.00018711	0.001248217	0.002540709	0.000459868	0.002542681	0.002105795	0.001328226	0.000982694	0.002207697	0.000367264	0.004834218	0.00465819	0.003283854	0.002792038	0.002772549	0.000985798	0.004430418	0.003316276	0.007058667	0.002408994	0.005776365	0.002374841	0.004770854	0.001046256	7.48E-05	0.007959766	0.004856905	0.005741659	0.011929649	0.003254899	0.00145886	0.003915962	0.002820593	0.005257052	0.002153991	0.003278689			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SHA-20	0.003422242	0.001196224	5.78E-05	0.003280413	4.16E-05	0.000392297	0.001241483	0.003077576	0.00072648	0.00092655	0.000500491	2.73E-05	0.005367733	0.000183632	0.00233829	0.000302153	0.002995407	0.000720526	0.0035102	0	0.001921871	0.00447519	0.00332956	0.002074411	0.001139375	0.002542759	0.000144571	0.00201909	0	0.001039874	0.000621232	0.001596793	0.002726777	0.000203431	4.86E-05	0.000621581	0.000227927	0.001123921	0.000982522	3.42E-05			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15	0	0	0	0	0	0	0	3.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__WCHB1-50	0.000705348	2.17E-05	0.000578324	0	6.24E-05	0.000142653	0.001125996	0.001131982	0	0.000112309	0.000250245	8.19E-05	0.000389594	3.06E-05	0.000656823	0.000201435	0.000665646	0.000720526	0.00061047	0	0.000161842	0.002175192	0.000799094	0.000602248	0.000211977	4.80E-05	0	0	0	0.000510484	0.000141189	0.000679486	0.000613525	0	9.73E-05	0.000248633	0.000398872	0.000906388	0.00056684	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.07E-05	0	6.66E-05	0	2.65E-05	0	0	0	0	0	0	0	4.54E-05	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__pLW-97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67E-05	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__C0119;o__	0.012617884	0.005198138	0.00956163	0.017028096	0.006632017	0.003851641	0.007073565	0.007216385	0.011623683	0.017211366	0.011665287	0.001501338	0.007488853	0.008049213	0.003494299	0.009442276	0.004903592	0.005223813	0.004018925	0.006253658	0.005219397	0.003601548	0.013817673	0.003546574	0.002146264	0.00211097	0.000722857	0.005047724	0.002992369	0.003157437	0.007694806	0.002038459	0.010361752	0.004814539	0.001507489	0.002237693	0.000854725	0.003516786	0.000925838	0.001605191			
k__Bacteria;p__Chloroflexi;c__Chloroflexi;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__AKIW781	0.008385799	0.004219409	0.002024135	0.015550659	0.000997921	0.004208274	0.002338607	0.005801408	0.00108972	0.011399371	0.011472791	0.000191079	0.005843903	0.020352574	0.000525458	0.004053884	0.001575362	0.008376115	0.00155161	0.011521518	0.001011511	0.001087596	0.002696943	0.002074411	0.000423953	0.000215895	0	0.006809838	0.000598474	0.000340323	0.000635351	0.000339743	0.006521542	0.002780226	0.000243143	0.000310791	0.000142454	0.002465376	0.000982522	0.000478142			
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Chloroflexales	2.61E-05	0	0.000366272	0	2.08E-05	0	2.89E-05	0	0	0.00030885	0	0	0	0	0.00018391	0.000453229	0	0	0	0	2.02E-05	1.78E-05	0.000266365	0	0.000105988	0	0	0	0	1.89E-05	7.06E-05	3.40E-05	0.000159062	0	0	0.000124316	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales	0	0	0.00015422	0	0	0	0	0	0	2.81E-05	0	0	0	0	7.88E-05	0	2.22E-05	0	0	0	0	1.78E-05	3.33E-05	0	7.95E-05	0	0	0	0	1.89E-05	8.47E-05	0	0	0	0	0	2.85E-05	0	0	0			
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales]	0.00078372	6.52E-05	0.001503643	2.50E-05	4.16E-05	0	0.000259845	0.000176872	0.004358881	0.001768868	7.70E-05	0	0.000259729	3.06E-05	0.002811203	0.000730203	0.000399388	9.01E-05	0.000101745	0	0.000869899	0.000713178	0.003496038	0.000669165	0.002490726	0	0.000144571	0	0	0.001644892	0.001355415	0.001155127	0.004044719	6.78E-05	0.000291772	0.00167827	0.000854725	3.63E-05	7.56E-05	0			
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	0.001724183	0.001217974	0.003026564	0.000225372	0.000623701	0.000142653	0.001125996	0.008242244	0.003632401	0.00154425	0.001058731	0.000218376	0.003203325	3.06E-05	0.002837476	0.000453229	0.000732211	0.000450329	0.000585033	0	0.003884202	0.00319147	0.003928881	0.000468415	0.009485957	0.005517308	0.008240567	0.000624082	0.002269214	0.004235125	0.006367628	0.005571788	0.004658244	0.001152777	0.000340401	0.011374938	0.00509986	0.000543833	0.000264525	0.000512295			
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__	0.000104496	0.000173996	9.64E-05	0	2.08E-05	0.00010699	0	0.00031837	0.00036324	2.81E-05	1.92E-05	0	0.001038916	0	0.000236456	0	0.000177506	0	0.000228926	0	0.000485525	0.000517054	0.000765799	0	0.002013778	2.40E-05	0	9.18E-05	0	0.000434857	0.000268259	0.000713461	0.000113616	0	0	0.001864744	0.000826234	3.63E-05	0	0			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;Other	7.84E-05	2.17E-05	1.93E-05	0.000175289	0	0.001890157	0.00034646	3.54E-05	0	0.000112309	0.003118443	0.000218376	0	6.12E-05	0	0.00040287	0	0.002701972	0.000178054	0.006623333	6.07E-05	0.000249612	9.99E-05	0.000334582	0	2.40E-05	0	9.18E-05	0	0.000132348	0.000155308	0.000543589	9.09E-05	0.002780226	0.000291772	0	0.000199436	0.001957799	0.013301842	0.001161202			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__	0	0	0	0	2.08E-05	0	0.000144358	0	0	0	0	0.000109188	0	0	0	0.000125897	0	0	0	0	0	0	6.66E-05	0	0	0	0	0	0	5.67E-05	0	0	0	0	0.000291772	0	0	0	0	0			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B10-SB3A	5.22E-05	2.17E-05	0	0.000726198	0	0	0	3.54E-05	0	2.81E-05	0	0	0	0.000153027	0	5.04E-05	0	0	0	0.000215643	2.02E-05	0	0	0	0	2.40E-05	0	0.000128488	0	0	0	0	0	0	0	0	0	0	1.89E-05	0			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B12-WMSP1	0.007314716	0.004306407	0.00023133	0.070416187	0.001351351	0.017439372	0.004417369	0.017722594	0.00036324	0.007889712	0.018017671	0.001747011	0.007358989	0.026259411	0.000210183	0.004683369	0.005258603	0.009907232	0.008241339	0.047996057	0.002569238	0.00192558	0.001698076	0.00629015	2.65E-05	0.005589272	0.000289143	0.024265786	0.000299237	0.000964247	0.000437686	0.000713461	0.006180694	0.006035126	0.002285548	6.22E-05	0.000113963	0.009100138	0.005555031	0.002083333			
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Elev-1554	0.00039186	0.001000478	3.86E-05	0.001802975	6.24E-05	0.000784593	0.000461947	0.001202731	0	0.000561545	0.000885484	0.000218376	0.00164495	0.001009977	0.000157638	0.000352512	0.000554705	0.000720526	0.000534161	0.002002403	0.000424835	0.000463566	0.000266365	0.000334582	0	0.000815602	0	0.00075257	0.000448855	0.000151254	7.06E-05	0.000101923	0.000386293	0.000813725	0.000437658	6.22E-05	2.85E-05	0.000797622	0.000547945	0.000443989			
